FILENAME, FILE PATH, FILE TYPE, FILE FORMAT, CODEC, VIDEO DETAILS, AUDIO FORMAT 
XmlParser PPC Xtra,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/XmlParser\ PPC\ Xtra,,,,,
zScript 2.0.1 OS X,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/MacOS/Xtras/Mac/zScript\ 2.0.1\ OS\ X,1 OS X,,,,
PkgInfo,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/PkgInfo,,,,,
Flip Video for Mac.icns,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ Mac.app/Contents/Resources/Flip\ Video\ for\ Mac.icns,icns,,,,
Flip Video for PC.exe,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/Flip\ Video\ for\ PC.exe,exe,MZ,,,
INFO.BIN,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/INFO.BIN,BIN,,,,
ReadMe.txt,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/ReadMe.txt,txt,,,,
Leopard Compatibility.dmg,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/INSTALL/Leopard\ Compatibility.dmg,dmg,,,,
Macintosh 3ivx installer.dmg,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/INSTALL/Macintosh\ 3ivx\ installer.dmg,dmg,,,,
Windows 3ivx Installer.exe,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/INSTALL/Windows\ 3ivx\ Installer.exe,exe,MZ,,,
Copyright Dispute Policy.rtf,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/Copyright\ Dispute\ Policy.rtf,rtf,,,,
FlipVideoforPC.exe,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/FlipVideoforPC.exe,exe,MZ,,,
FlipVideoforPC.ico,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/FlipVideoforPC.ico,ico,ICO,,,
FlipVideoforPC.ini,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/FlipVideoforPC.ini,ini,,,,
mem_size.txt,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/mem_size.txt,txt,,,,
checkForUpdate.txt,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/checkForUpdate.txt,txt,,,,
